TARİHİ,AÇIKLAMA,TUTAR,TAKSİT BİLGİSİ,MAXIMIL,MAXIPUAN
2024-09-11 00:00:00,"13631 BAYRAMIC EVCILERCANAKKALETRKAZANILANMAXİMİL:0,94 MAXİP",62.5,,0.94,0.02
2024-09-12 00:00:00,"RECOO MARKET ÇANAKKALE TR KAZANILAN MAXİMİL:1,16",77,,1.16,
2024-09-13 00:00:00,"CARREFOUR FRANCHISE ÇANAKKALE TR KAZANILAN MAXİMİL:1,16",77,,1.16,
2024-09-14 00:00:00,"CARREFOUR FRANCHISE ÇANAKKALE TR KAZANILAN MAXİMİL:1,16",77,,1.16,
2024-09-15 00:00:00,"DÖRTYOL BÜFE ÇANAKKALE TR KAZANILAN MAXİMİL:1,18",78,,1.18,
2024-09-16 00:00:00,"13631 BAYRAMICEVCILERCANAKKALETRKAZANILANMAXİMİL:0,62 MAXİPUAN:0,01",41.99,,0.62,0.01
2024-09-17 00:00:00,"KAZDAG PAZARI CANAKKALE TR KAZANILAN MAXİMİL:1,30",87,,1.3,
2024-09-17 00:00:00,"13631 BAYRAMICEVCILERCANAKKALETRKAZANILANMAXİMİL:0,52 MAXİPUAN:0,01",34,,0.52,0.01
2024-09-18 00:00:00,"CARREFOUR FRANCHISE ÇANAKKALE TR KAZANILAN MAXİMİL:1,68",112,,1.68,
2024-09-19 00:00:00,"CARREFOUR FRANCHISE ÇANAKKALE TR KAZANILAN MAXİMİL:1,10",72.9,,1.1,
2024-09-19 00:00:00,"CARREFOUR FRANCHISE ÇANAKKALE TR KAZANILAN MAXİMİL:0,60",40,,0.6,
2024-09-19 00:00:00,"RECOO MARKET ÇANAKKALE TR KAZANILAN MAXİMİL:1,18",79,,1.18,
2024-09-21 00:00:00,2310-304044 HESAPTAN AKTARIM 2300 İNTERAKTİF,-81.18,,,
2024-09-22 00:00:00,"TANJUNUN YERİ ÇANAKKALE TR KAZANILAN MAXİMİL:1,24",82,,1.24,
2024-09-22 00:00:00,"PARAM/ /YEMEKSEPETI ISTANBUL TR KAZANILAN MAXİMİL:4,12",275,,4.12,
2024-09-23 00:00:00,"IYZICO/ERİKLİ.COM.TR ISTANBUL TR KAZANILAN MAXİMİL:1,96",130,,1.96,
2024-09-23 00:00:00,2310-273124 HESAPTAN AKTARIM 2300 İNTERAKTİF,-3740.38,,,
2024-09-23 00:00:00,2310-273124 HESAPTAN AKTARIM 2300 İNTERAKTİF,-5732.35,,,
2024-09-23 00:00:00,"MOPAS KURTKOY1 ISTANBULTRKAZANILANMAXİMİL:11,46 MAXİPUAN:0,76",763.87,,11.46,0.76
2024-09-23 00:00:00,"SIMIT SARAYI SABANCI ÜNİSTANBUL TR KAZANILAN MAXİMİL:0,28",18,,0.28,
2024-09-23 00:00:00,"SELF GIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:3,60",240,,3.6,
2024-09-23 00:00:00,"GÜR-SEL TURİZM İSTANBUL TR KAZANILAN MAXİMİL:1,06",71,,1.06,
2024-09-23 00:00:00,"CARREFOURKURTKOY2 ISTANBULTRKAZANILANMAXİMİL:9,72 MAXİPUAN:0",648.2,,9.72,0.1
2024-09-23 00:00:00,"PARAM/ /YEMEKSEPETI ISTANBUL TR KAZANILAN MAXİMİL:2,32",155,,2.32,
2024-09-24 00:00:00,"GUR SEL TURIZM ISTANBUL TU KAZANILAN MAXİMİL:15,00",1000,,15,
2024-09-24 00:00:00,"ISTANBULKURTKOYBASKALISTANBULTRKAZANILANMAXİMİL:1,16 MAXİPUAN:0,01",77,,1.16,0.01
2024-09-24 00:00:00,"EVIM CARSI ISTANBUL TR KAZANILAN MAXİMİL:3,82",255,,3.82,
2024-09-24 00:00:00,"CARREFOUR KURTKOY2 ISTANBUL TR KAZANILAN MAXİMİL:0,36",24.2,,0.36,
2024-09-24 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,03",,,0,0.03
2024-09-24 00:00:00,"KUCUK EV SABANCI UNIVER ISTANBUL TR KAZANILAN MAXİMİL:3,66",244,,3.66,
2024-09-24 00:00:00,"SBXIST SABANCIUNIVERS ISTANBULTRKAZANILANMAXİMİL:1,42 MAXİPUA",95,,1.42,0.01
2024-09-24 00:00:00,"PARAM./YEMEKSEPETI İSTANBUL TR KAZANILAN MAXİMİL:3,28",218.6,,3.28,
2024-09-25 00:00:00,"ATLI PETROL İSTANBUL TR KAZANILAN MAXİMİL:1,16",77,,1.16,
2024-09-25 00:00:00,"SELF GIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:3,60",240,,3.6,
2024-09-25 00:00:00,"EKMOT GIDA ANONIM SIRKE ISTANBUL TR KAZANILAN MAXİMİL:1,80",120,,1.8,
2024-09-25 00:00:00,"KÖPÜKLÜ KAHVE GIDA İSTANBUL TR KAZANILAN MAXİMİL:1,20",80,,1.2,
2024-09-25 00:00:00,"KURTKÖY TEKEL 67 İSTANBUL TR KAZANILAN MAXİMİL:1,18",79,,1.18,
2024-09-25 00:00:00,"MEŞHURMERSİN TANTUNİ İSTANBUL TR KAZANILAN MAXİMİL:3,08",205,,3.08,
2024-09-25 00:00:00,"GÜR-SEL TURİZM-MAXİPUAN İLAVE:0,71",,,0,0.71
2024-09-25 00:00:00,"IYZICO/ERİKLİ.COM-MAXİPUAN İLAVE:0,01",,,0,0.01
2024-09-25 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,02",,,0,0.02
