TARİHİ,AÇIKLAMA,TUTAR,TAKSİT BİLGİSİ,MAXIMIL,MAXIPUAN
2024-11-10 00:00:00,SIMIT SARAYI SABANCI ÜNİSTANBUL TR KAZANILAN MAXİMİL:0,30.0,20,0.3,
2024-11-10 00:00:00,SIMIT SARAYI SABANCI ÜNİSTANBUL TR KAZANILAN MAXİMİL:0,30.0,20,0.3,
2024-11-10 00:00:00,İYZİ ÖDEME VE ELEKTRONİİSTANBUL TR KAZANILAN MAXİMİL:77,98.0,5199,77.98,
2024-11-10 00:00:00,AKYASAM ISTANBUL TU KAZANILAN MAXİMİL:1,50.0,100,1.5,
2024-11-11 00:00:00,ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:1,16.0,77,1.16,
2024-11-11 00:00:00,KÖPÜKLÜ KAHVE fiIDA İSTANBUL TR KAZANILAN MAXİMİL:3,0.0,200,3.0,
2024-11-11 00:00:00,KÖPÜKLÜ KAHVE GIDA İSTANBUL TR KAZANILAN MAXİMİL:0,38.0,25,0.38,
2024-11-11 00:00:00,EKMOT fiIDA ANONIM SIRKE ISTANBUL TR KAZANILAN MAXİMİL:1,36.0,90,1.36,
2024-11-11 00:00:00,SIMIT SARAYI SABANCI ÜNİSTANBUL TR KAZANILAN MAXİMİL:0,30.0,20,0.3,
2024-11-11 00:00:00,MUHSİN YAZICIOĞLU CAD. KOCAELİ TR KAZANILAN MAXİMİL:3,90.0,260,3.9,
2024-11-11 00:00:00,ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:1,68.0,112,1.68,
2024-11-12 00:00:00,İYZİ ÖDEME VE ELE-MAXİPUAN İLAVE:1,4.0,,1.04,
2024-11-12 00:00:00,SIMIT SARAYI SABANCI ÜNİSTANBUL TR KAZANILAN MAXİMİL:1,96.0,130,1.96,
2024-11-12 00:00:00,ENDEROĞLU ECZANESİ İSTANBUL TR KAZANILAN MAXİMİL:0,16.0,80,0.16,
2024-11-12 00:00:00,EKMOT fiIDA ANONIM SIRKE ISTANBUL TR KAZANILAN MAXİMİL:2,10.0,140,2.1,
2024-11-12 00:00:00,ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:2,92.0,194,2.92,
2024-11-13 00:00:00,MUHSİN YAZICIOĞLU-MAXİPUAN İLAVE:0,3.0,,0.03,
2024-11-13 00:00:00,LESNPORT INSAAT TURIZM ISTANBUL TU KAZANILAN MAXİMİL:9,28.0,619,9.28,
2024-11-13 00:00:00,PİZZA RESTAURANTLARI İSTANBUL TR KAZANILAN MAXİMİL:1,12.0,75,1.12,
2024-11-13 00:00:00,SABANCI ÜNİVERSİTESİ İSTANBUL TR KAZANILAN MAXİMİL:15,0.0,1000,15.0,
2024-11-14 00:00:00,ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:1,16.0,77,1.16,
2024-11-14 00:00:00,SELF fiIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:3,60.0,240,3.6,
2024-11-14 00:00:00,ESPRESSOBAR İSTANBUL TR KAZANILAN MAXİMİL:0,90.0,60,0.9,
2024-11-14 00:00:00,TANTUNI TAN ISTANBUL TU KAZANILAN MAXİMİL:2,78.0,185,2.78,
2024-11-15 00:00:00,ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:1,16.0,77,1.16,
2024-11-15 00:00:00,MAYDONOZ DÖNER İSTANBUL TR KAZANILAN MAXİMİL:3,16.0,210,3.16,
2024-11-15 00:00:00,CALVIN KLEIN ISTANBUL TR,1717.04,"1/3 taksidi (5.151,12)",77.26,
2024-11-15 00:00:00,SU ŞARKUTERİ İSTANBUL TR KAZANILAN MAXİMİL:4,50.0,300,4.5,
2024-11-16 00:00:00,BAŞAKŞEHİR PETROL İSTANBUL TR KAZANILAN MAXİMİL:30,84.0,2056.23,30.84,
2024-11-16 00:00:00,DETA RESTORAN İSTANBUL TR KAZANILAN MAXİMİL:3,94.0,262.5,3.94,
2024-11-16 00:00:00,ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:1,16.0,77,1.16,
2024-11-16 00:00:00,TANTUNI TAN ISTANBUL TU KAZANILAN MAXİMİL:4,72.0,315,4.72,
2024-11-17 00:00:00,MEHMED KAYA ISTANBUL TR KAZANILAN MAXİMİL:6,26.0,417,6.26,
2024-11-17 00:00:00,ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:1,16.0,77,1.16,
2024-11-18 00:00:00,PARAM/ /YEMEKSEPETIPAY ISTANBUL TR KAZANILAN MAXİMİL:3,44.0,229.9,3.44,
2024-11-18 00:00:00,KÖPÜKLÜ KAHVE fiIDA İSTANBUL TR KAZANILAN MAXİMİL:3,60.0,240,3.6,
2024-11-18 00:00:00,PİZZA RESTAURANTLARI İSTANBUL TR KAZANILAN MAXİMİL:1,12.0,75,1.12,
2024-11-18 00:00:00,ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:1,16.0,77,1.16,
2024-11-18 00:00:00,SEVİMLİ PİLAV İSTANBUL TR KAZANILAN MAXİMİL:1,96.0,130,1.96,
2024-11-18 00:00:00,YDK CAFE İSTANBUL TR KAZANILAN MAXİMİL:5,44.0,363,5.44,
2024-11-19 00:00:00,SELF fiIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:3,60.0,240,3.6,
2024-11-19 00:00:00,MAYDONOZ DÖNER İSTANBUL TR KAZANILAN MAXİMİL:6,68.0,445,6.68,
2024-11-19 00:00:00,ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:1,76.0,117,1.76,
2024-11-19 00:00:00,SELF fiIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:3,0.0,200,3.0,
2024-11-20 00:00:00,2310-273124 HESAPTAN AKTARIM 2300 İNTERAKTİF,-29853.82,,,
2024-11-20 00:00:00,PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,2.0,,0.02,
2024-11-20 00:00:00,PİZZA RESTAURANTLARI İSTANBUL TR KAZANILAN MAXİMİL:1,50.0,100,1.5,
2024-11-20 00:00:00,SAFA RESTORAN ISTANBUL TR KAZANILAN MAXİMİL:9,8.0,605,9.08,
2024-11-20 00:00:00,ATLI PETROL İSTANBUL TR KAZANILAN MAXİMİL:1,30.0,87,1.3,
2024-11-20 00:00:00,PİZZA RESTAURANTLARI İSTANBUL TR KAZANILAN MAXİMİL:1,80.0,120,1.8,
2024-11-21 00:00:00,ÇAĞLAYAN FIRINI İSTANBUL TR KAZANILAN MAXİMİL:3,76.0,250,3.76,
2024-11-21 00:00:00,MIfiROS ONE ISTANBUL TR KAZANILAN MAXİMİL:4,12.0,275,4.12,
2024-11-21 00:00:00,ŞOK-7036-SABANCI ÜNİ İSTANBUL TR KAZANILAN MAXİMİL:0,96.0,64.5,0.96,
2024-11-21 00:00:00,ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:1,46.0,97,1.46,
2024-11-22 00:00:00,ATLI PETROL-MAXİPUAN İLAVE:0,87.0,,0.87,
